dataset,round,reference,method,kind,operating_point,d_balanced_accuracy,d_balanced_accuracy_lo,d_balanced_accuracy_hi,d_balanced_accuracy_p,d_mcc,d_mcc_lo,d_mcc_hi,d_mcc_p,d_sensitivity,d_sensitivity_lo,d_sensitivity_hi,d_sensitivity_p,d_specificity,d_specificity_lo,d_specificity_hi,d_specificity_p
CAID3 Disorder-PDB,caid3,disorder_pdb,Metapredict-v3,DED,calibrated,-0.009986574389717479,-0.025396163179919766,0.004162816372823036,0.174,-0.000762799222492404,-0.02374437886055187,0.022793099332795642,0.96,-0.0360314141628443,-0.06703436123374962,-0.007515063651850101,0.014,0.016058265383409338,0.0076084414985926364,0.02427361501478763,0.001
CAID3 Disorder-PDB,caid3,disorder_pdb,DisoMine,DED,calibrated,-0.11074457854274791,-0.1390964485965643,-0.08436872957194956,0.001,-0.24072125190727822,-0.29230121518948754,-0.18884588847197756,0.001,-0.1287674308602178,-0.1831332544511467,-0.08031934912985106,0.001,-0.092721726225278,-0.1265396925975061,-0.06337618565482739,0.001
CAID3 Disorder-PDB,caid3,disorder_pdb,PUNCH2,DED,calibrated,0.015313976451245378,0.00032153067484431703,0.03167559170718986,0.042,0.02940524747331424,0.0033618723511549156,0.05848800439481065,0.024,0.023853629850191266,-0.007147886189021479,0.05639500481339786,0.114,0.006774323052299487,-0.005353278644347852,0.017641151486796385,0.272
CAID3 Disorder-PDB,caid3,disorder_pdb,PUNCH2-Light,DED,calibrated,0.007408780423753187,-0.009028786604018313,0.024446129968691492,0.362,0.02401886680238202,-0.002971928366768769,0.05274183955231458,0.076,0.0004906869319822502,-0.033322166695156315,0.033209910277248136,0.992,0.014326873915524122,0.002958581694502083,0.02461712788363227,0.024
CAID3 Disorder-PDB,caid3,disorder_pdb,DisorderUnetLM,DED,calibrated,0.008901376947965755,-0.010511218306185835,0.028328464115125716,0.36,-0.023485114956999644,-0.06330548495853267,0.015638317589600905,0.248,0.0749295190342471,0.04150942571640769,0.10756845324749771,0.001,-0.057126765138315584,-0.08093765789996564,-0.03585507233356719,0.001
CAID3 Disorder-PDB,caid3,disorder_pdb,LMDisorder,DED,calibrated,0.0026693520543555433,-0.012983766354304288,0.01900354557438466,0.788,-0.006520489067815485,-0.035713552360583246,0.022397698144796977,0.678,0.019193253162238237,-0.010744431279578004,0.052284502479894406,0.208,-0.013854549053527147,-0.02948722627383884,-0.0009458082839659979,0.042
CAID3 Disorder-PDB,caid3,disorder_pdb,ESMDisPred-1,DED,calibrated,-0.025735188384464747,-0.04767335459137905,-0.0058063078980285536,0.012,-0.0785384284344611,-0.11681702918943176,-0.041688304674021126,0.001,0.0028580395238674743,-0.040155064304480514,0.04285090954891412,0.866,-0.05432841629279697,-0.07524664946019738,-0.034731577358159856,0.001
CAID3 Disorder-PDB,caid3,disorder_pdb,ESMDisPred-2,DED,calibrated,-0.025538718089928865,-0.050139427868895844,-0.0024558594015947443,0.03,-0.0701434159811129,-0.11265694264416212,-0.02868074153151681,0.001,-0.010203194007473052,-0.05683778204359859,0.03613944653154067,0.702,-0.04087424217238467,-0.0600506565266611,-0.023327606986094623,0.001
CAID3 Disorder-PDB,caid3,disorder_pdb,UdonPred-DisProt,DED,calibrated,-0.06578075180938817,-0.08448696321716671,-0.046406387987333306,0.001,-0.1543558027077093,-0.18626357457018242,-0.1209274948031442,0.001,-0.059922186444888635,-0.09649249354580065,-0.020689542957602346,0.002,-0.07163931717388768,-0.08278201900791662,-0.05949941278753299,0.001
CAID3 Disorder-PDB,caid3,disorder_pdb,UdonPred-combined,DED,calibrated,-0.005253776991336577,-0.023624864802790732,0.011835357015307692,0.572,-0.02975902005197665,-0.059722281791993743,-0.0018571403772041342,0.03,0.018263197326680265,-0.01901999235731009,0.0536029918828267,0.308,-0.028770751309353415,-0.0394146903965813,-0.018852556293991487,0.001
CAID3 Disorder-PDB,caid3,disorder_pdb,DARUMA-beta,DED,calibrated,-0.04452220139606616,-0.06314809231041338,-0.026521427628642204,0.001,-0.08022417531804903,-0.11065111347216382,-0.05035823223821637,0.001,-0.07615212351072774,-0.11694909280026135,-0.03871923939541756,0.001,-0.01289227928140459,-0.024432617466751533,-0.0015052418841147467,0.03
CAID3 Disorder-PDB,caid3,disorder_pdb,DisoFLAG-IDR,DED,calibrated,-0.026716865535937835,-0.04729273673678061,-0.0071783010985518965,0.006,-0.08287887623323931,-0.11939454622293608,-0.048008038164031326,0.001,0.005705058227109858,-0.035056278797246786,0.04351509119997187,0.758,-0.05913878929898553,-0.07628430066967534,-0.04196386291087793,0.001
