dataset,method,insample_bacc,cv_bacc,insample_mcc,cv_mcc,cv_threshold_mean,cv_threshold_sd
CAID2 Disorder-NOX,DisEMBL-disHL,0.5920989550686082,0.5840806501296311,0.170562206477372,0.15143252374332186,0.06560000000000002,0.010199999999999999
CAID2 Disorder-NOX,IsUnstruct,0.6793771618101945,0.6759368105651068,0.31897499992971134,0.3135478557784533,0.4675999999999999,0.07763916537418472
CAID2 Disorder-NOX,RONN,0.6627850623908315,0.6577443745911877,0.2894370756869361,0.2805855115536571,0.499,0.024269322199023214
CAID2 Disorder-NOX,PreDisorder,0.688611275044044,0.681409981671435,0.3355767642881618,0.3225433914887718,0.5237,0.016000312496948315
CAID2 Disorder-NOX,OPAL,0.6106913114060607,0.5982890125318973,0.2015924599975711,0.1761008149939853,0.5044000000000002,0.015383107618423542
CAID2 Disorder-NOX,pyHCA,0.6915794693376198,0.6741969427086568,0.34142915080265646,0.3114169427762647,0.2516,0.07260192834904594
CAID2 Disorder-NOX,DeepIDP-2L,0.6796708969673998,0.664453814750253,0.35451824500121665,0.2945346461896144,0.5218,0.14793363376865992
CAID2 Disorder-NOX,PredIDR-long,0.7000219816932802,0.6927076319801353,0.3585507454719168,0.345763282930748,0.5313,0.05788445387148436
CAID2 Disorder-NOX,PredIDR-short,0.6952536795612705,0.6890722456788219,0.35184273573397823,0.33846010321107456,0.5576564,0.05681639330897378
CAID2 Disorder-NOX,AUCpred-profile,0.7000133933055368,0.6933863456990627,0.3568048271919766,0.34521158911185684,0.0723,0.04079718127518126
CAID2 Disorder-NOX,AUCpred-no-profile,0.6770689334910843,0.6677855757860365,0.31876994701684086,0.2989767715425124,0.0465,0.031026601489689457
CAID2 Disorder-NOX,DisoPred,0.7292755822354473,0.7263016005854503,0.412264976922871,0.40427583671443507,0.45309999999999995,0.04374117053760678
CAID2 Disorder-NOX,Dispredict2,0.5076924456923022,0.5028421190511752,0.09730366813653978,0.00617569787069572,0.7472000000000001,0.34025660904676047
CAID2 Disorder-NOX,Dispredict3,0.712852731932432,0.6827027818625326,0.3801968980269816,0.3265224038912688,0.09459999999999999,0.12890864982614628
CAID2 Disorder-NOX,IDP-Fusion,0.7238534814012368,0.7151517231235744,0.4041205412475215,0.3835279009159305,0.561,0.07452516353554685
CAID2 Disorder-NOX,rawMSA,0.7216001861146661,0.7125370570592553,0.40729946538881867,0.3889865424282854,0.5504,0.055359190745530217
CAID2 Disorder-NOX,metapredict,0.7237365512759355,0.7209687914229114,0.39785151793196993,0.39291557872653976,0.42589999999999995,0.07440624973750523
CAID2 Disorder-NOX,disomine,0.7148020267017745,0.6951214514630542,0.3837057034444249,0.34846499034305445,0.26139999999999997,0.10821478642034091
