dataset,round,reference,plddt_cutoff,sensitivity,specificity,balanced_accuracy,mcc,sensitivity_long
CAID2 Disorder-NOX,caid2,disorder_nox,58.0,0.6803182400683468,0.6689629159056619,0.6746405779870044,0.31399007783585975,0.6856382376260052
CAID2 Disorder-NOX,caid2,disorder_nox,59.0,0.6892887654848355,0.6642579210672596,0.6767733432760475,0.31728223519814513,0.6944727602219957
CAID2 Disorder-NOX,caid2,disorder_nox,60.0,0.6979923109782145,0.6595330739299611,0.6787626924540877,0.3203565605035138,0.7029108619322687
CAID2 Disorder-NOX,caid2,disorder_nox,61.0,0.7055745407945323,0.6556420233463035,0.6806082820704179,0.32327745980025424,0.7104994903160041
CAID2 Disorder-NOX,caid2,disorder_nox,62.0,0.7137975224263136,0.6512149606924482,0.6825062415593809,0.32627790311761673,0.7187110658058671
CAID2 Disorder-NOX,caid2,disorder_nox,63.0,0.7220205040580948,0.6468673072341777,0.6844439056461362,0.3293856111166556,0.7269792728508325
CAID2 Disorder-NOX,caid2,disorder_nox,64.0,0.7299231097821444,0.6433931549273406,0.6866581323547425,0.33306006203806576,0.7350775852304904
CAID2 Disorder-NOX,caid2,disorder_nox,65.0,0.7362772319521572,0.6396609227348526,0.687969077343505,0.3351593924226969,0.7413636878468682
CAID2 Disorder-NOX,caid2,disorder_nox,66.0,0.7453011533532679,0.6357500198522988,0.6905255866027833,0.33946382810120235,0.7503681051081663
CAID2 Disorder-NOX,caid2,disorder_nox,67.0,0.7525630072618539,0.6321567537520845,0.6923598805069692,0.3425415726747024,0.7576735757163892
CAID2 Disorder-NOX,caid2,disorder_nox,68.0,0.7589171294318667,0.6284642261573891,0.6936906777946279,0.344754603999533,0.7641295729980745
CAID2 Disorder-NOX,caid2,disorder_nox,69.0,0.7660721913712089,0.6238783451123641,0.6949752682417865,0.3468880877945682,0.77126514894099
CAID2 Disorder-NOX,caid2,disorder_nox,70.0,0.7728000854335754,0.6195902485507822,0.6961951669921788,0.34894975694159924,0.7778344093328803
CAID2 Disorder-NOX,caid2,disorder_nox,71.0,0.7787270397266126,0.6153418565869928,0.6970344481568027,0.35037066372671477,0.7837807226186431
CAID2 Disorder-NOX,caid2,disorder_nox,72.0,0.7860956856044425,0.6104780433574208,0.6982868644809317,0.3525526486474841,0.7910295616717635
CAID2 Disorder-NOX,caid2,disorder_nox,73.0,0.7935177274668945,0.6055943778289526,0.6995560526479236,0.3548075969122932,0.7987314531657039
CAID2 Disorder-NOX,caid2,disorder_nox,74.0,0.7999786416061512,0.6005320416104185,0.7002553416082848,0.3560919774666347,0.8053007135575942
CAID2 Disorder-NOX,caid2,disorder_nox,75.0,0.8071337035454934,0.5952711824029222,0.7012024429742079,0.35786627023530976,0.8122663948352021
CAID2 Disorder-NOX,caid2,disorder_nox,76.0,0.8135412217001281,0.5894147542285396,0.7014779879643338,0.358501144091927,0.8188356552270926
CAID2 Disorder-NOX,caid2,disorder_nox,77.0,0.8213904314395557,0.5831017231795442,0.70224607730955,0.360092777017565,0.8265941782761355
CAID2 Disorder-NOX,caid2,disorder_nox,78.0,0.8276377616403247,0.5774438179941237,0.7025407898172242,0.3608654736217732,0.8327103862272058
CAID2 Disorder-NOX,caid2,disorder_nox,79.0,0.8350598035027766,0.5695624553323275,0.7023111294175521,0.3608638003214517,0.8400158568354287
CAID2 Disorder-NOX,caid2,disorder_nox,80.0,0.843229389149936,0.5605495116334471,0.7018894503916915,0.3606796288988999,0.8482274323252916
CAID2 Disorder-NOX,caid2,disorder_nox,81.0,0.8491563434429731,0.5513380449456047,0.7002471941942889,0.3583851657099676,0.8541737456110545
CAID2 Disorder-NOX,caid2,disorder_nox,82.0,0.8586074327210593,0.5399626776780752,0.6992850551995673,0.35765002084100744,0.8634046890927625
CAID2 Disorder-NOX,caid2,disorder_nox,83.0,0.8652819307988039,0.5279520368458668,0.6966169838223353,0.35398130110485077,0.8697474232642428
CAID2 Disorder-NOX,caid2,disorder_nox,84.0,0.8707817172148654,0.5154649408401493,0.6931233290275074,0.3489661994452057,0.8749575263336731
CAID2 Disorder-NOX,caid2,disorder_nox,85.0,0.8785775309696711,0.49815373620265224,0.6883656335861617,0.34238802378806216,0.8825461547174085
CAID2 Disorder-NOX,caid2,disorder_nox,86.0,0.8865335326783426,0.47959183673469385,0.6830626847065182,0.33521584260216913,0.890474572431759
CAID2 Disorder-NOX,caid2,disorder_nox,87.0,0.893314822725331,0.4607321527832923,0.6770234877543116,0.3269238771559401,0.8969305697134443
CAID2 Disorder-NOX,caid2,disorder_nox,88.0,0.9013242204186245,0.436095449853093,0.6687098351358587,0.31557908702577486,0.9041227772114623
CAID2 Disorder-NOX,caid2,disorder_nox,89.0,0.909280222127296,0.4096918923211308,0.6594860572242134,0.3031338871653353,0.9115981424849926
CAID2 Disorder-NOX,caid2,disorder_nox,90.0,0.9185177274668945,0.37580401810529657,0.6471608727860956,0.28657457092738065,0.9204892966360856
CAID2 Disorder-NOX,caid2,disorder_nox,91.0,0.9280222127296027,0.3429484634320654,0.6354853380808341,0.27145072336757214,0.9294370823422812
CAID2 Disorder-NOX,caid2,disorder_nox,92.0,0.9357646304997864,0.3091797030096085,0.6224721667546975,0.2539242767037779,0.936855816060709
CAID2 Disorder-NOX,caid2,disorder_nox,93.0,0.947298163178129,0.2647105534820932,0.6060043583301111,0.23248786675158734,0.9481254955261071
CAID2 Disorder-NOX,caid2,disorder_nox,94.0,0.9555211448099103,0.2263757643135075,0.590948454561709,0.2118005969746735,0.95588401857515
CAID2 Disorder-NOX,caid2,disorder_nox,95.0,0.9689769329346433,0.17614944810609068,0.572563190520367,0.1877103425262312,0.9697021180201608
CAID2 Disorder-NOX,caid2,disorder_nox,96.0,0.9799765057667663,0.1356110537600254,0.5577937797633958,0.1681047510363981,0.9808019028202515
CAID2 Disorder-NOX,caid2,disorder_nox,97.0,0.9883062793677916,0.09527118240292226,0.541788730885357,0.1431515708249502,0.9887869520897044
CAID2 Disorder-NOX,caid2,disorder_nox,98.0,0.9952477573686459,0.05086158977209561,0.5230546735703707,0.10670387274892144,0.9952429493713897
CAID2 Disorder-NOX,caid2,disorder_nox,99.0,1.0,0.0,0.5,,1.0
CAID3 Disorder-PDB,caid3,disorder_pdb,5.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,6.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,7.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,8.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,9.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,10.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,11.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,12.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,13.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,14.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,15.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,16.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,17.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,18.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-PDB,caid3,disorder_pdb,19.0,4.483902788987535e-05,1.0,0.5000224195139449,0.005552435572483234,5.275931201857128e-05
CAID3 Disorder-PDB,caid3,disorder_pdb,20.0,0.0005380683346785041,1.0,0.5002690341673393,0.019235683309474574,0.0006331117442228553
CAID3 Disorder-PDB,caid3,disorder_pdb,21.0,0.0014796879203658865,1.0,0.5007398439601829,0.03190346632859649,0.0017410572966128522
CAID3 Disorder-PDB,caid3,disorder_pdb,22.0,0.003093892924401399,1.0,0.5015469464622007,0.046143979465392816,0.0036403925292814183
CAID3 Disorder-PDB,caid3,disorder_pdb,23.0,0.00520132723522554,1.0,0.5026006636176128,0.059849794608503336,0.006120080194154268
CAID3 Disorder-PDB,caid3,disorder_pdb,24.0,0.008429737243296565,1.0,0.5042148686216483,0.07623108503054112,0.0099187506594914
CAID3 Disorder-PDB,caid3,disorder_pdb,25.0,0.01282396197650435,1.0,0.5064119809882521,0.09408823541752837,0.015089163237311385
CAID3 Disorder-PDB,caid3,disorder_pdb,26.0,0.020267240606223657,0.9999796234411933,0.5101234320237085,0.1181722427923404,0.02342513453624565
CAID3 Disorder-PDB,caid3,disorder_pdb,27.0,0.028876333961079723,0.999918493764773,0.5143974138629264,0.14071216243209533,0.03329112588371848
CAID3 Disorder-PDB,caid3,disorder_pdb,28.0,0.04044480315666756,0.9998166109707393,0.5201307070637035,0.1662430237920613,0.04653371320037987
CAID3 Disorder-PDB,caid3,disorder_pdb,29.0,0.05299973096583266,0.9997147281767055,0.5263572295712691,0.1903521469967241,0.06067320882135697
CAID3 Disorder-PDB,caid3,disorder_pdb,30.0,0.07044211281499417,0.9994702094710245,0.5349561611430094,0.21909837702477733,0.08014139495620977
CAID3 Disorder-PDB,caid3,disorder_pdb,31.0,0.09088870953277733,0.9992460673241503,0.5450673884284638,0.24930646747349158,0.1030389363722697
CAID3 Disorder-PDB,caid3,disorder_pdb,32.0,0.11806116043404179,0.9989607955008558,0.5585109779674488,0.285117043340755,0.13305898491083676
CAID3 Disorder-PDB,caid3,disorder_pdb,33.0,0.14326069410815173,0.9986347705599479,0.5709477323340498,0.314925953123906,0.16117969821673525
CAID3 Disorder-PDB,caid3,disorder_pdb,34.0,0.1691328132006098,0.9982679925014264,0.5837004028510181,0.3431782666165784,0.1897224860187823
CAID3 Disorder-PDB,caid3,disorder_pdb,35.0,0.1937046004842615,0.9976363191784171,0.5956704598313393,0.367340853898405,0.21610214202806796
CAID3 Disorder-PDB,caid3,disorder_pdb,36.0,0.22114608555286522,0.9970453989730215,0.6090957422629434,0.39344194710067437,0.245014245014245
CAID3 Disorder-PDB,caid3,disorder_pdb,37.0,0.24742175589633217,0.9964748553264324,0.6219483056113823,0.4173286919983339,0.2725546058879392
CAID3 Disorder-PDB,caid3,disorder_pdb,38.0,0.2772397094430993,0.9957209226505828,0.6364803160468411,0.44304474117616466,0.3041574337870634
CAID3 Disorder-PDB,caid3,disorder_pdb,39.0,0.3054434579858309,0.9951911321216073,0.650317295053719,0.46709552759313866,0.3332278147092962
CAID3 Disorder-PDB,caid3,disorder_pdb,40.0,0.3316294502735181,0.9946613415926319,0.663145395933075,0.48867006744177377,0.3607154162709718
CAID3 Disorder-PDB,caid3,disorder_pdb,41.0,0.35543897408304187,0.9941926807400766,0.6748158274115592,0.5078682602948182,0.38609264535190463
CAID3 Disorder-PDB,caid3,disorder_pdb,42.0,0.3813559322033898,0.9937443964463282,0.6875501643248589,0.5285030401656143,0.4125778199852274
CAID3 Disorder-PDB,caid3,disorder_pdb,43.0,0.40570352434759216,0.992949710652865,0.6993266175002286,0.5465585592509811,0.437480215257993
CAID3 Disorder-PDB,caid3,disorder_pdb,44.0,0.4305443457985831,0.9923995435650828,0.711471944681833,0.5653768112337424,0.46354331539516724
CAID3 Disorder-PDB,caid3,disorder_pdb,45.0,0.4533225719666398,0.9915029749775858,0.7224127734721127,0.5814468670105466,0.48717948717948717
CAID3 Disorder-PDB,caid3,disorder_pdb,46.0,0.47574208591157746,0.9907490423017361,0.7332455641066568,0.5974268319201134,0.5100242692835285
CAID3 Disorder-PDB,caid3,disorder_pdb,47.0,0.49278091650973005,0.9899543565082729,0.7413676365090015,0.608965306529091,0.5269072491294714
CAID3 Disorder-PDB,caid3,disorder_pdb,48.0,0.5119271814187069,0.9890374113619692,0.750482296390338,0.62181535102972,0.5463754352643242
CAID3 Disorder-PDB,caid3,disorder_pdb,49.0,0.5319702268854811,0.9881204662156655,0.7600453465505733,0.635303600659465,0.5658963807111955
CAID3 Disorder-PDB,caid3,disorder_pdb,50.0,0.550712940543449,0.9872238976281685,0.7689684190858088,0.6477816436884799,0.5833069536773241
CAID3 Disorder-PDB,caid3,disorder_pdb,51.0,0.5710250201775625,0.9861439400114109,0.7785844800944868,0.6610322262264209,0.6033554922443811
CAID3 Disorder-PDB,caid3,disorder_pdb,52.0,0.5861806116043404,0.9850639823946532,0.7856222969994968,0.670330522628342,0.6182336182336182
CAID3 Disorder-PDB,caid3,disorder_pdb,53.0,0.6022329835889157,0.9840044013367023,0.7931186924628091,0.6803581315748434,0.6339558932151524
