dataset,method,kind,operating_point,lo,hi,n_residues,recall
CAID2 Disorder-PDB,AUCpred-no-profile,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,AUCpred-no-profile,DED,calibrated,6,10,160,0.70625
CAID2 Disorder-PDB,AUCpred-no-profile,DED,calibrated,11,15,898,0.5489977728285078
CAID2 Disorder-PDB,AUCpred-no-profile,DED,calibrated,16,20,752,0.5997340425531915
CAID2 Disorder-PDB,AUCpred-no-profile,DED,calibrated,21,30,1381,0.6292541636495294
CAID2 Disorder-PDB,AUCpred-no-profile,DED,calibrated,31,50,1665,0.5423423423423424
CAID2 Disorder-PDB,AUCpred-no-profile,DED,calibrated,51,100,3649,0.7476020827624007
CAID2 Disorder-PDB,AUCpred-no-profile,DED,calibrated,101,200,3672,0.7908496732026143
CAID2 Disorder-PDB,AUCpred-no-profile,DED,calibrated,201,-1,10717,0.720164225062984
CAID2 Disorder-PDB,DisoPred,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,DisoPred,DED,calibrated,6,10,160,0.35
CAID2 Disorder-PDB,DisoPred,DED,calibrated,11,15,898,0.24610244988864144
CAID2 Disorder-PDB,DisoPred,DED,calibrated,16,20,752,0.37367021276595747
CAID2 Disorder-PDB,DisoPred,DED,calibrated,21,30,1381,0.4960173787110789
CAID2 Disorder-PDB,DisoPred,DED,calibrated,31,50,1665,0.5357357357357357
CAID2 Disorder-PDB,DisoPred,DED,calibrated,51,100,3649,0.7188270759112085
CAID2 Disorder-PDB,DisoPred,DED,calibrated,101,200,3672,0.8208061002178649
CAID2 Disorder-PDB,DisoPred,DED,calibrated,201,-1,10717,0.8200055985816926
CAID2 Disorder-PDB,Dispredict2,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,Dispredict2,DED,calibrated,6,10,160,0.58125
CAID2 Disorder-PDB,Dispredict2,DED,calibrated,11,15,898,0.5055679287305123
CAID2 Disorder-PDB,Dispredict2,DED,calibrated,16,20,752,0.3776595744680851
CAID2 Disorder-PDB,Dispredict2,DED,calibrated,21,30,1381,0.4518464880521361
CAID2 Disorder-PDB,Dispredict2,DED,calibrated,31,50,1665,0.5213213213213214
CAID2 Disorder-PDB,Dispredict2,DED,calibrated,51,100,3649,0.4360098657166347
CAID2 Disorder-PDB,Dispredict2,DED,calibrated,101,200,3672,0.4937363834422658
CAID2 Disorder-PDB,Dispredict2,DED,calibrated,201,-1,10717,0.48661005878510777
CAID2 Disorder-PDB,Dispredict3,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,Dispredict3,DED,calibrated,6,10,160,0.76875
CAID2 Disorder-PDB,Dispredict3,DED,calibrated,11,15,898,0.589086859688196
CAID2 Disorder-PDB,Dispredict3,DED,calibrated,16,20,752,0.586436170212766
CAID2 Disorder-PDB,Dispredict3,DED,calibrated,21,30,1381,0.6922519913106444
CAID2 Disorder-PDB,Dispredict3,DED,calibrated,31,50,1665,0.6054054054054054
CAID2 Disorder-PDB,Dispredict3,DED,calibrated,51,100,3649,0.8262537681556591
CAID2 Disorder-PDB,Dispredict3,DED,calibrated,101,200,3672,0.8357843137254902
CAID2 Disorder-PDB,Dispredict3,DED,calibrated,201,-1,10717,0.7941588131006811
CAID2 Disorder-PDB,IDP-Fusion,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,IDP-Fusion,DED,calibrated,6,10,160,0.475
CAID2 Disorder-PDB,IDP-Fusion,DED,calibrated,11,15,898,0.45657015590200445
CAID2 Disorder-PDB,IDP-Fusion,DED,calibrated,16,20,752,0.535904255319149
CAID2 Disorder-PDB,IDP-Fusion,DED,calibrated,21,30,1381,0.6234612599565532
CAID2 Disorder-PDB,IDP-Fusion,DED,calibrated,31,50,1665,0.6336336336336337
CAID2 Disorder-PDB,IDP-Fusion,DED,calibrated,51,100,3649,0.8361194847903535
CAID2 Disorder-PDB,IDP-Fusion,DED,calibrated,101,200,3672,0.9016884531590414
CAID2 Disorder-PDB,IDP-Fusion,DED,calibrated,201,-1,10717,0.8465055519268452
CAID2 Disorder-PDB,rawMSA,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,rawMSA,DED,calibrated,6,10,160,0.4625
CAID2 Disorder-PDB,rawMSA,DED,calibrated,11,15,898,0.45879732739420936
CAID2 Disorder-PDB,rawMSA,DED,calibrated,16,20,752,0.46143617021276595
CAID2 Disorder-PDB,rawMSA,DED,calibrated,21,30,1381,0.49022447501810285
