dataset,method,kind,operating_point,threshold,stratum,local_recall,local_specificity,local_bacc,local_bacc_lo,local_bacc_hi,local_mcc,n_pos,n_neg
CAID3 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,0.169,long_gt30,0.746860820934895,0.8594327990135635,0.8031468099742293,0.7737444541121418,0.8315447213124826,0.522809926353435,18954,5677
CAID3 Disorder-PDB,DisEMBL-dis465,DED,literal,0.5,short_lt20,0.38163716814159293,0.9020346646571213,0.6418359163993571,0.6120190712987361,0.6722095799951748,0.3189102406677115,1808,1327
CAID3 Disorder-PDB,DisEMBL-dis465,DED,literal,0.5,mid_20_30,0.37662337662337664,0.9197860962566845,0.6482047364400305,0.6122480903429024,0.6902339993244652,0.3257631088299943,1540,935
CAID3 Disorder-PDB,DisEMBL-dis465,DED,literal,0.5,long_gt30,0.40513875699060886,0.9355293288708825,0.6703340429307456,0.6490011796371421,0.6920664925536901,0.30591972544896745,18954,5677
CAID3 Disorder-PDB,DisEMBL-dis465,DED,calibrated,0.436,short_lt20,0.5016592920353983,0.8311981914091937,0.666428741722296,0.6335963785194584,0.6995654837660688,0.3424623549852819,1808,1327
CAID3 Disorder-PDB,DisEMBL-dis465,DED,calibrated,0.436,mid_20_30,0.5051948051948052,0.8566844919786096,0.6809396485867074,0.6393334983402412,0.7233640193134551,0.36370811900546435,1540,935
CAID3 Disorder-PDB,DisEMBL-dis465,DED,calibrated,0.436,long_gt30,0.5350321831803313,0.8802184252245905,0.707625304202461,0.6806954661629834,0.7325581656123622,0.3523624531448529,18954,5677
CAID3 Disorder-PDB,DisEMBL-disHL,DED,literal,0.5,short_lt20,0.0027654867256637168,1.0,0.5013827433628318,0.500288800659434,0.5026840600521854,0.03424120831149553,1808,1327
CAID3 Disorder-PDB,DisEMBL-disHL,DED,literal,0.5,mid_20_30,0.003896103896103896,1.0,0.5019480519480519,0.5,0.5042688873175413,0.03841143439085815,1540,935
CAID3 Disorder-PDB,DisEMBL-disHL,DED,literal,0.5,long_gt30,0.0011079455523899967,1.0,0.500553972776195,0.5002802512087637,0.5008969621819509,0.015986848136033068,18954,5677
CAID3 Disorder-PDB,DisEMBL-disHL,DED,calibrated,0.125,short_lt20,0.3478982300884956,0.8485305199698568,0.5982143750291762,0.5696421302787563,0.6270028367689603,0.21997089232040004,1808,1327
CAID3 Disorder-PDB,DisEMBL-disHL,DED,calibrated,0.125,mid_20_30,0.43506493506493504,0.8909090909090909,0.662987012987013,0.6267688827638754,0.7033216047670394,0.341140426445023,1540,935
CAID3 Disorder-PDB,DisEMBL-disHL,DED,calibrated,0.125,long_gt30,0.32283423024163765,0.8937819270741589,0.6083080786578983,0.5813157651608479,0.6340337512255353,0.20479333118019225,18954,5677
CAID3 Disorder-PDB,IsUnstruct,DED,literal,0.5,short_lt20,0.5890486725663717,0.7068575734740015,0.6479531230201866,0.6195029653488795,0.6751595937684577,0.293172173615009,1808,1327
CAID3 Disorder-PDB,IsUnstruct,DED,literal,0.5,mid_20_30,0.7467532467532467,0.7026737967914438,0.7247135217723453,0.6801083342987373,0.7734406051290845,0.4410500982222954,1540,935
CAID3 Disorder-PDB,IsUnstruct,DED,literal,0.5,long_gt30,0.7637438007808378,0.7984851153778404,0.7811144580793391,0.7476894521678054,0.812366354697108,0.4915820924097085,18954,5677
CAID3 Disorder-PDB,IsUnstruct,DED,calibrated,0.68,short_lt20,0.4563053097345133,0.8455162019593067,0.6509107558469099,0.6181091828111115,0.6819906747634432,0.3174974210885069,1808,1327
CAID3 Disorder-PDB,IsUnstruct,DED,calibrated,0.68,mid_20_30,0.5948051948051948,0.8449197860962567,0.7198624904507258,0.6755037438029939,0.7635076357954796,0.43078930018791417,1540,935
CAID3 Disorder-PDB,IsUnstruct,DED,calibrated,0.68,long_gt30,0.6582779360557138,0.9098115201691034,0.7840447281124086,0.75498212971486,0.8115211481385246,0.47920899148341817,18954,5677
CAID3 Disorder-PDB,RONN,DED,literal,0.5,short_lt20,0.5497787610619469,0.6691785983421251,0.609478679702036,0.5772377527497998,0.6402177180054835,0.21716575808796865,1808,1327
CAID3 Disorder-PDB,RONN,DED,literal,0.5,mid_20_30,0.6824675324675324,0.7176470588235294,0.7000572956455309,0.6496660879361991,0.7498949692789898,0.3887395112027936,1540,935
CAID3 Disorder-PDB,RONN,DED,literal,0.5,long_gt30,0.7499208610319722,0.7789325347895015,0.7644266979107368,0.731935054131043,0.7967742882518971,0.46080684236563746,18954,5677
CAID3 Disorder-PDB,RONN,DED,calibrated,0.56,short_lt20,0.398783185840708,0.8198944988696307,0.6093388423551693,0.5774106786840233,0.6396817308660857,0.2344087907152985,1808,1327
CAID3 Disorder-PDB,RONN,DED,calibrated,0.56,mid_20_30,0.5331168831168831,0.8267379679144385,0.6799274255156609,0.6296331422371533,0.7306033838508321,0.3565597831478894,1540,935
CAID3 Disorder-PDB,RONN,DED,calibrated,0.56,long_gt30,0.6368576553761739,0.87422934648582,0.755543500930997,0.7246631136448062,0.7850124147076779,0.4307928542915669,18954,5677
CAID3 Disorder-PDB,PreDisorder,DED,literal,0.5,short_lt20,0.775995575221239,0.5327807083647325,0.6543881417929858,0.623558693161455,0.6835735763252886,0.3188807297675525,1808,1327
CAID3 Disorder-PDB,PreDisorder,DED,literal,0.5,mid_20_30,0.7785714285714286,0.6021390374331551,0.6903552330022918,0.6463558883804598,0.7332382330186414,0.3833440034964731,1540,935
CAID3 Disorder-PDB,PreDisorder,DED,literal,0.5,long_gt30,0.8020470613063205,0.776114144794786,0.7890806030505533,0.7540457868516196,0.8208026931124051,0.5173454492606393,18954,5677
CAID3 Disorder-PDB,PreDisorder,DED,calibrated,0.559,short_lt20,0.5940265486725663,0.7882441597588545,0.6911353542157104,0.6602605825082787,0.722048270529115,0.381264217024535,1808,1327
CAID3 Disorder-PDB,PreDisorder,DED,calibrated,0.559,mid_20_30,0.6266233766233766,0.8117647058823529,0.7191940412528648,0.6729928644881848,0.7655464387270838,0.42638720926920437,1540,935
CAID3 Disorder-PDB,PreDisorder,DED,calibrated,0.559,long_gt30,0.6577503429355281,0.9233750220186718,0.7905626824770999,0.7622360223417465,0.817701406250463,0.49002778462694163,18954,5677
CAID3 Disorder-PDB,OPAL,DED,literal,0.5,short_lt20,0.8113938053097345,0.24415975885455915,0.5277767820821468,0.5060669674575929,0.5469600554701296,0.0671409222650174,1808,1327
CAID3 Disorder-PDB,OPAL,DED,literal,0.5,mid_20_30,0.9285714285714286,0.12620320855614972,0.5273873185637892,0.5047602931386012,0.5504240218125914,0.09182833613175506,1540,935
CAID3 Disorder-PDB,OPAL,DED,literal,0.5,long_gt30,0.8454152157855862,0.38030649991192533,0.6128608578487558,0.5694680765548381,0.6580031348401618,0.2347915689931352,18954,5677
CAID3 Disorder-PDB,OPAL,DED,calibrated,0.532,short_lt20,0.629424778761062,0.43933685003767897,0.5343808143993705,0.507911986623877,0.5586401112760699,0.06935782809883359,1808,1327
CAID3 Disorder-PDB,OPAL,DED,calibrated,0.532,mid_20_30,0.8350649350649351,0.28342245989304815,0.5592436974789916,0.5366820228288217,0.5818505298557877,0.14111403589584734,1540,935
CAID3 Disorder-PDB,OPAL,DED,calibrated,0.532,long_gt30,0.6257254405402554,0.6258587282015149,0.6257920843708851,0.5797617708748457,0.6649345942925365,0.21387688965807114,18954,5677
CAID3 Disorder-PDB,pyHCA,DED,literal,0.5,short_lt20,0.1592920353982301,0.9577995478522984,0.5585457916252642,0.5370039242049591,0.5811017875808917,0.18509778141054434,1808,1327
