dataset,round,reference,method,kind,operating_point,threshold,stratum,recall,recall_lo,recall_hi,specificity,balanced_accuracy,bacc_lo,bacc_hi,mcc,n_pos_residues,n_targets
CAID3 Disorder-NOX,caid3,disorder_nox,SETH-0,DED,literal,0.5,short_lt20,0.3913764510779436,0.26775972716271224,0.5282826698604615,0.8161037438640193,0.6037400974709815,0.5355127330193823,0.6754442229351066,0.06364907849611959,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,SETH-0,DED,literal,0.5,mid_20_30,0.5567144719687093,0.43090644992818905,0.6886143976915747,0.8161037438640193,0.6864091079163643,0.6238507452586066,0.7560963767482219,0.12748211177937185,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,SETH-0,DED,literal,0.5,long_gt30,0.7453641982789965,0.6955909831439131,0.7896985297242273,0.8161037438640193,0.7807339710715079,0.7480169814392577,0.8114237343531002,0.53436661786057,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,SETH-0,DED,calibrated,0.383,short_lt20,0.5804311774461028,0.4525086831079095,0.7019560795114457,0.7519964832588468,0.6662138303524748,0.5959582563637363,0.732212467822871,0.09146880248760317,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,SETH-0,DED,calibrated,0.383,mid_20_30,0.7614080834419817,0.6661465920330906,0.85623595307445,0.7519964832588468,0.7567022833504142,0.7073705102188467,0.8049525368172435,0.1577541797614191,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,SETH-0,DED,calibrated,0.383,long_gt30,0.8712883286874318,0.8282356048133733,0.9065006469615382,0.7519964832588468,0.8116424059731393,0.7800056532981239,0.8400306380012529,0.570147236479037,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,SETH-1,DED,literal,0.5,short_lt20,0.4709784411276949,0.34773985465828366,0.6035762602032696,0.8056756294722446,0.6383270352999697,0.5709750695191863,0.7089222462025079,0.08297285055307342,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,SETH-1,DED,literal,0.5,mid_20_30,0.6049543676662321,0.4968300994924945,0.7192695231407987,0.8056756294722446,0.7053149985692384,0.6487082279690832,0.7630267713950353,0.13743618748384856,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,SETH-1,DED,literal,0.5,long_gt30,0.7608168706823415,0.7124981114331979,0.8046095133318114,0.8056756294722446,0.783246250077293,0.7525856350856708,0.8128694783672976,0.534981404506681,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,SETH-1,DED,calibrated,0.396,short_lt20,0.6202321724709784,0.5098658511513158,0.73456919019547,0.7512638288519305,0.6857480006614545,0.624522676400075,0.7465738704985999,0.10204568700911469,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,SETH-1,DED,calibrated,0.396,mid_20_30,0.7366362451108214,0.6453956291400653,0.8308284497506643,0.7512638288519305,0.743950036981376,0.6955189503526262,0.790767119343505,0.14986728809159652,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,SETH-1,DED,calibrated,0.396,long_gt30,0.8428069324930312,0.7981338493957838,0.881134460970329,0.7512638288519305,0.7970353806724808,0.7668750444900941,0.8245974169041613,0.5447347623837598,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,VSL2,DED,literal,0.5,short_lt20,0.6915422885572139,0.5756196919112048,0.8069409119811064,0.5966493271790363,0.6440958078681251,0.5836901914197186,0.7032566088368883,0.07014012332856542,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,VSL2,DED,literal,0.5,mid_20_30,0.7522816166883963,0.6216184062130368,0.8724603395166244,0.5966493271790363,0.6744654719337163,0.6045382549593119,0.7378609504511375,0.0953204800934823,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,VSL2,DED,literal,0.5,long_gt30,0.8638952854199491,0.8306079304618463,0.8938846820448667,0.5966493271790363,0.7302723062994927,0.7013131904891433,0.7601624721390443,0.4178348747321153,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,VSL2,DED,calibrated,0.613,short_lt20,0.5240464344941956,0.4112996293324162,0.6367298206889034,0.7044716340635455,0.6142590342788705,0.5534337301097849,0.6721029845509546,0.05970205773007837,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,VSL2,DED,calibrated,0.613,mid_20_30,0.6401564537157758,0.49571663575017527,0.7776051761106109,0.7044716340635455,0.6723140438896607,0.5997571169336259,0.7421266425817542,0.1008559304275931,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,VSL2,DED,calibrated,0.613,long_gt30,0.7792388801357412,0.7375398559530801,0.8190136750511258,0.7044716340635455,0.7418552570996433,0.7103257963682624,0.7727350621869207,0.4415444198640958,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder,DED,literal,0.5,short_lt20,0.472636815920398,0.3508771929824561,0.6030999630223098,0.7624978630913132,0.6175673395058556,0.552965771291386,0.686446854024138,0.06575647184877462,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder,DED,literal,0.5,mid_20_30,0.5567144719687093,0.42239195230998505,0.7066023687662101,0.7624978630913132,0.6596061675300112,0.5872366302343451,0.7336760255038606,0.09993792523508836,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder,DED,literal,0.5,long_gt30,0.7841473760756272,0.7116061278833903,0.8473362518158264,0.7624978630913132,0.7733226195834701,0.7321105785003682,0.8121896309982024,0.5060777955836319,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder,DED,calibrated,0.46,short_lt20,0.5041459369817579,0.3764886932944285,0.6403677462887989,0.7507021271399614,0.6274240320608597,0.5588523472037693,0.6969125972388618,0.07010701863832215,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder,DED,calibrated,0.46,mid_20_30,0.5867014341590613,0.44887209960384833,0.7330111592465092,0.7507021271399614,0.6687017806495114,0.5938927443924208,0.7422511684873413,0.10393163788666233,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder,DED,calibrated,0.46,long_gt30,0.7994182523330505,0.7275898037287787,0.8605041846034143,0.7507021271399614,0.7750601897365059,0.7350208692671121,0.8136163499016167,0.5066137351837235,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder2,DED,literal,0.5,short_lt20,0.43449419568822556,0.3160579380857711,0.5752313576181656,0.7825970156543824,0.608545605671304,0.5446233154575792,0.680467361802393,0.0626167822361837,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder2,DED,literal,0.5,mid_20_30,0.6166883963494133,0.4971109894176719,0.7312126953492751,0.7825970156543824,0.6996427060018979,0.6359139767481559,0.757394726160615,0.12851186856023916,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder2,DED,literal,0.5,long_gt30,0.8266876742213065,0.7783152913029364,0.8697253977276314,0.7825970156543824,0.8046423449378445,0.7735047605634114,0.8338564274436203,0.5645992434607914,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder2,DED,calibrated,0.442,short_lt20,0.4560530679933665,0.33564152159896843,0.5954790303963061,0.7669914767870663,0.6115222723902164,0.5462550398750263,0.6855142242204065,0.06279594819308111,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder2,DED,calibrated,0.442,mid_20_30,0.6466753585397653,0.5267827683465489,0.7612392792347022,0.7669914767870663,0.7068334176634158,0.6414739826595849,0.7653931336251591,0.13001260067895112,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder2,DED,calibrated,0.442,long_gt30,0.8485638104472185,0.802105730672322,0.8896310480548987,0.7669914767870663,0.8077776436171424,0.7770418568837975,0.836408431497236,0.566336304653635,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder-Single,DED,literal,0.5,short_lt20,0.32669983416252074,0.20856942046032817,0.46138270161443756,0.8662173052970914,0.596458569729806,0.5360896064192973,0.668720639777422,0.06718334546105588,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder-Single,DED,literal,0.5,mid_20_30,0.4172099087353325,0.2881850883554063,0.5607020302262183,0.8662173052970914,0.6417136070162119,0.5772176698905129,0.7151643297004783,0.11006954903612615,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder-Single,DED,literal,0.5,long_gt30,0.5754454005575081,0.5099828461945087,0.6386313225609105,0.8662173052970914,0.7208313529272998,0.6831396607496485,0.7531799585902924,0.4552337543097649,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder-Single,DED,calibrated,0.203,short_lt20,0.5522388059701493,0.4194615569650702,0.6815233990565717,0.7639875937187095,0.6581131998444294,0.5910008715997805,0.7237085154014942,0.08847338608667549,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder-Single,DED,calibrated,0.203,mid_20_30,0.6753585397653195,0.5389934533551555,0.8077005730659026,0.7639875937187095,0.7196730667420145,0.6511320976015628,0.788782693391367,0.13741154719681756,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,SPOT-Disorder-Single,DED,calibrated,0.203,long_gt30,0.7551205914434614,0.6951469784516081,0.8112186651216439,0.7639875937187095,0.7595540925810855,0.7239299836968285,0.793595413441978,0.4826814788626312,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,DisEMBL-dis465,DED,literal,0.5,short_lt20,0.4096185737976783,0.30494733342665176,0.5155036514920235,0.8463867926832247,0.6280026832404515,0.5772812554714812,0.6809536172790981,0.0840842907359521,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,DisEMBL-dis465,DED,literal,0.5,mid_20_30,0.4315514993481095,0.32063311879770184,0.5487690008854781,0.8463867926832247,0.6389691460156671,0.5816987743934665,0.7002086376987539,0.10218451041047093,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,DisEMBL-dis465,DED,literal,0.5,long_gt30,0.4296448915282996,0.3895124513663434,0.4704644080103237,0.8463867926832247,0.6380158421057621,0.6135962866865785,0.6591548769352855,0.2954905635651802,16502,161
