dataset,method,kind,operating_point,stratum,n_regions,detection_rate,mean_overlap
CAID2 Disorder-PDB,Dispredict2,DED,literal,long_gt30,153,0.2875816993464052,0.3153474094229709
CAID2 Disorder-PDB,Dispredict2,DED,calibrated,short_lt20,118,0.5169491525423728,0.48018611985986176
CAID2 Disorder-PDB,Dispredict2,DED,calibrated,mid_20_30,64,0.46875,0.4379540246388073
CAID2 Disorder-PDB,Dispredict2,DED,calibrated,long_gt30,153,0.47058823529411764,0.4928110761691993
CAID2 Disorder-PDB,Dispredict3,DED,literal,short_lt20,118,0.1440677966101695,0.15038849001336538
CAID2 Disorder-PDB,Dispredict3,DED,literal,mid_20_30,64,0.1875,0.21339075575605748
CAID2 Disorder-PDB,Dispredict3,DED,literal,long_gt30,153,0.32679738562091504,0.3331282779708099
CAID2 Disorder-PDB,Dispredict3,DED,calibrated,short_lt20,118,0.6440677966101694,0.6210852342211554
CAID2 Disorder-PDB,Dispredict3,DED,calibrated,mid_20_30,64,0.703125,0.6550757809608072
CAID2 Disorder-PDB,Dispredict3,DED,calibrated,long_gt30,153,0.7843137254901961,0.7609982312461727
CAID2 Disorder-PDB,IDP-Fusion,DED,literal,short_lt20,118,0.5338983050847458,0.5128181266486744
CAID2 Disorder-PDB,IDP-Fusion,DED,literal,mid_20_30,64,0.6875,0.6181870473276723
CAID2 Disorder-PDB,IDP-Fusion,DED,literal,long_gt30,153,0.8169934640522876,0.8007694142534822
CAID2 Disorder-PDB,IDP-Fusion,DED,calibrated,short_lt20,118,0.5,0.4911094448134643
CAID2 Disorder-PDB,IDP-Fusion,DED,calibrated,mid_20_30,64,0.609375,0.5885057552002595
CAID2 Disorder-PDB,IDP-Fusion,DED,calibrated,long_gt30,153,0.803921568627451,0.7835336688424094
CAID2 Disorder-PDB,rawMSA,DED,literal,short_lt20,118,0.4491525423728814,0.43048208729520054
CAID2 Disorder-PDB,rawMSA,DED,literal,mid_20_30,64,0.421875,0.4282480419770759
CAID2 Disorder-PDB,rawMSA,DED,literal,long_gt30,153,0.6862745098039216,0.6849722759641885
CAID2 Disorder-PDB,rawMSA,DED,calibrated,short_lt20,118,0.4745762711864407,0.46393421778090144
CAID2 Disorder-PDB,rawMSA,DED,calibrated,mid_20_30,64,0.515625,0.4712120749144034
CAID2 Disorder-PDB,rawMSA,DED,calibrated,long_gt30,153,0.7058823529411765,0.7042782926746091
CAID2 Disorder-PDB,metapredict,DED,literal,short_lt20,118,0.4661016949152542,0.4513226942534415
CAID2 Disorder-PDB,metapredict,DED,literal,mid_20_30,64,0.59375,0.5434479710720106
CAID2 Disorder-PDB,metapredict,DED,literal,long_gt30,153,0.7581699346405228,0.7289737340074771
CAID2 Disorder-PDB,metapredict,DED,calibrated,short_lt20,118,0.4661016949152542,0.4495403428948189
CAID2 Disorder-PDB,metapredict,DED,calibrated,mid_20_30,64,0.59375,0.541763344635229
CAID2 Disorder-PDB,metapredict,DED,calibrated,long_gt30,153,0.7516339869281046,0.7276558242906834
CAID2 Disorder-PDB,disomine,DED,literal,short_lt20,118,0.13559322033898305,0.13229797786128794
CAID2 Disorder-PDB,disomine,DED,literal,mid_20_30,64,0.25,0.2278209129232836
CAID2 Disorder-PDB,disomine,DED,literal,long_gt30,153,0.35294117647058826,0.3845369354295614
CAID2 Disorder-PDB,disomine,DED,calibrated,short_lt20,118,0.3559322033898305,0.34492326868323875
